periodo,tasa_vacancia,tasa_titular,tasa_subrogancia,tasa_sin_cobertura,tasa_concurso_vacantes,stale_meses,meses_sin_nombramiento
2023-01,0.2568,0.7432,0.0901,0.1635,0.9347,17,2
2023-02,0.2568,0.7432,0.0901,0.1635,0.9347,18,3
2023-03,0.2568,0.7432,0.0901,0.1635,0.9347,19,4
2023-04,0.2568,0.7432,0.0901,0.1635,0.9347,20,0
2023-05,0.2568,0.7432,0.0901,0.1635,0.9347,21,1
2023-06,0.2568,0.7432,0.0901,0.1635,0.9347,22,2
2023-07,0.2568,0.7432,0.0901,0.1635,0.9347,23,3
2023-08,0.2568,0.7432,0.0901,0.1635,0.9347,24,4
2023-09,0.2568,0.7432,0.0901,0.1635,0.9347,25,5
2023-10,0.2568,0.7432,0.0901,0.1635,0.9347,26,0
2023-11,0.2568,0.7432,0.0901,0.1635,0.9347,27,0
2023-12,0.2568,0.7432,0.0901,0.1635,0.9347,28,1
2024-01,0.2568,0.7432,0.0901,0.1635,0.9347,29,2
2024-02,0.2568,0.7432,0.0901,0.1635,0.9347,30,3
2024-03,0.2568,0.7432,0.0901,0.1635,0.9347,31,4
2024-04,0.2792,0.7177,0.226,0.0531,0.9366,0,5
2024-05,0.2792,0.7177,0.226,0.0531,0.9366,1,6
2024-06,0.2792,0.7177,0.226,0.0531,0.9366,2,7
2024-07,0.2792,0.7177,0.226,0.0531,0.9366,3,8
2024-08,0.2792,0.7177,0.226,0.0531,0.9366,4,9
2024-09,0.2792,0.7177,0.226,0.0531,0.9366,5,10
2024-10,0.2792,0.7177,0.226,0.0531,0.9366,6,11
2024-11,0.2792,0.7177,0.226,0.0531,0.9366,7,12
2024-12,0.2792,0.7177,0.226,0.0531,0.9366,8,13
2025-01,0.2792,0.7177,0.226,0.0531,0.9366,9,14
2025-02,0.2792,0.7177,0.226,0.0531,0.9366,10,15
2025-03,0.2792,0.7177,0.226,0.0531,0.9366,11,16
2025-04,0.2792,0.7177,0.226,0.0531,0.9366,12,17
2025-05,0.2792,0.7177,0.226,0.0531,0.9366,13,18
2025-06,0.2792,0.7177,0.226,0.0531,0.9366,14,19
2025-07,0.2792,0.7177,0.226,0.0531,0.9366,15,20
2025-08,0.2792,0.7177,0.226,0.0531,0.9366,16,21
2025-09,0.2792,0.7177,0.226,0.0531,0.9366,17,22
2025-10,0.2792,0.7177,0.226,0.0531,0.9366,18,23
2025-11,0.2792,0.7177,0.226,0.0531,0.9366,19,24
2025-12,0.2792,0.7177,0.226,0.0531,0.9366,20,25
2026-01,0.2792,0.7177,0.226,0.0531,0.9366,21,26
2026-02,0.2792,0.7177,0.226,0.0531,0.9366,22,27
2026-03,0.2792,0.7177,0.226,0.0531,0.9366,23,28
2026-04,0.2792,0.7177,0.226,0.0531,0.9366,24,29
2026-05,0.2792,0.7177,0.226,0.0531,0.9366,25,30
2026-06,0.3613,0.6325,0.2953,0.0723,1.0,0,31
