periodo,tasa_vacancia,tasa_titular,tasa_subrogancia,tasa_concurso_vacantes,stale_meses
2019-02,0.2418,0.7336,0.209,0.9802,0.0
2019-03,0.2418,0.7336,0.209,0.9802,1.0
2019-04,0.2418,0.7336,0.209,0.9802,2.0
2019-05,0.2418,0.7336,0.209,0.9802,3.0
2019-06,0.2418,0.7336,0.209,0.9802,4.0
2019-07,0.2574,0.7239,0.2024,0.9141,0.0
2019-08,0.2599,0.7213,0.2028,0.8992,0.0
2019-09,0.2599,0.7213,0.2028,0.8992,1.0
2019-10,0.2549,0.7243,0.2233,0.8895,0.0
2019-11,0.2549,0.7243,0.2233,0.8895,1.0
2019-12,0.2549,0.7243,0.2233,0.8895,2.0
2020-01,0.2549,0.7243,0.2233,0.8895,3.0
2020-02,0.2549,0.7243,0.2233,0.8895,4.0
2020-03,0.2549,0.7243,0.2233,0.8895,5.0
2020-04,0.2549,0.7243,0.2233,0.8895,6.0
2020-05,0.2549,0.7243,0.2233,0.8895,7.0
2020-06,0.2549,0.7243,0.2233,0.8895,8.0
2020-07,0.2549,0.7243,0.2233,0.8895,9.0
2020-08,0.2549,0.7243,0.2233,0.8895,10.0
2020-09,0.2549,0.7243,0.2233,0.8895,11.0
2020-10,0.2549,0.7243,0.2233,0.8895,12.0
2020-11,0.2549,0.7243,0.2233,0.8895,13.0
2020-12,0.2549,0.7243,0.2233,0.8895,14.0
2021-01,0.2549,0.7243,0.2233,0.8895,15.0
2021-02,0.2549,0.7243,0.2233,0.8895,16.0
2021-03,0.2549,0.7243,0.2233,0.8895,17.0
2021-04,0.2549,0.7243,0.2233,0.8895,18.0
2021-05,0.2764,0.7068,0.16,0.9661,0.0
2021-06,0.2764,0.7068,0.16,0.9661,1.0
2021-07,0.2764,0.7068,0.16,0.9661,2.0
2021-08,0.2832,0.7027,0.1591,0.9408,0.0
2021-09,0.2832,0.7027,0.1591,0.9408,1.0
2021-10,0.2832,0.7027,0.1591,0.9408,2.0
2021-11,0.2832,0.7027,0.1591,0.9408,3.0
2021-12,0.2832,0.7027,0.1591,0.9408,4.0
2022-01,0.2832,0.7027,0.1591,0.9408,5.0
2022-02,0.2832,0.7027,0.1591,0.9408,6.0
2022-03,0.2832,0.7027,0.1591,0.9408,7.0
2022-04,0.2832,0.7027,0.1591,0.9408,8.0
2022-05,0.2832,0.7027,0.1591,0.9408,9.0
2022-06,0.2832,0.7027,0.1591,0.9408,10.0
2022-07,0.2832,0.7027,0.1591,0.9408,11.0
2022-08,0.2832,0.7027,0.1591,0.9408,12.0
2022-09,0.2832,0.7027,0.1591,0.9408,13.0
2022-10,0.2832,0.7027,0.1591,0.9408,14.0
2022-11,0.2832,0.7027,0.1591,0.9408,15.0
2022-12,0.2832,0.7027,0.1591,0.9408,16.0
2023-01,0.2832,0.7027,0.1591,0.9408,17.0
2023-02,0.2832,0.7027,0.1591,0.9408,18.0
2023-03,0.2832,0.7027,0.1591,0.9408,19.0
2023-04,0.2832,0.7027,0.1591,0.9408,20.0
2023-05,0.2832,0.7027,0.1591,0.9408,21.0
2023-06,0.2832,0.7027,0.1591,0.9408,22.0
2023-07,0.2832,0.7027,0.1591,0.9408,23.0
2023-08,0.2832,0.7027,0.1591,0.9408,24.0
2023-09,0.2832,0.7027,0.1591,0.9408,25.0
2023-10,0.2832,0.7027,0.1591,0.9408,26.0
2023-11,0.2832,0.7027,0.1591,0.9408,27.0
2023-12,0.2832,0.7027,0.1591,0.9408,28.0
2024-01,0.2832,0.7027,0.1591,0.9408,29.0
2024-02,0.2832,0.7027,0.1591,0.9408,30.0
2024-03,0.2832,0.7027,0.1591,0.9408,31.0
2024-04,0.3076,0.6781,0.274,0.9579,0.0
2024-05,0.3076,0.6781,0.274,0.9579,1.0
2024-06,0.3076,0.6781,0.274,0.9579,2.0
2024-07,0.3076,0.6781,0.274,0.9579,3.0
2024-08,0.3076,0.6781,0.274,0.9579,4.0
2024-09,0.3076,0.6781,0.274,0.9579,5.0
2024-10,0.3076,0.6781,0.274,0.9579,6.0
2024-11,0.3076,0.6781,0.274,0.9579,7.0
2024-12,0.3076,0.6781,0.274,0.9579,8.0
2025-01,0.3076,0.6781,0.274,0.9579,9.0
2025-02,0.3076,0.6781,0.274,0.9579,10.0
2025-03,0.3076,0.6781,0.274,0.9579,11.0
2025-04,0.3076,0.6781,0.274,0.9579,12.0
2025-05,0.3076,0.6781,0.274,0.9579,13.0
2025-06,0.3076,0.6781,0.274,0.9579,14.0
2025-07,0.3076,0.6781,0.274,0.9579,15.0
2025-08,0.3076,0.6781,0.274,0.9579,16.0
2025-09,0.3076,0.6781,0.274,0.9579,17.0
2025-10,0.3076,0.6781,0.274,0.9579,18.0
2025-11,0.3076,0.6781,0.274,0.9579,19.0
2025-12,0.3076,0.6781,0.274,0.9579,20.0
2026-01,0.3076,0.6781,0.274,0.9579,21.0
2026-02,0.3076,0.6781,0.274,0.9579,22.0
2026-03,0.3076,0.6781,0.274,0.9579,23.0
2026-04,0.3076,0.6781,0.274,0.9579,24.0
2026-05,0.3076,0.6781,0.274,0.9579,25.0
